,Proxy address,Proxy type,Uptime
306,204.16.1.169:82,http,13
307,95.142.223.24:56379,http,10
308,200.125.223.142:9812,http,11
309,157.90.205.166:8080,http,6
310,80.235.9.243:3128,http,27
311,216.48.177.127:80,http,20
312,210.14.104.230:8080,http,16
313,104.131.121.7:80,http,6
314,182.72.203.255:80,http,17
315,82.223.102.92:9443,http,11
316,41.77.129.154:53281,http,15
317,164.92.215.166:8080,http,66
318,37.112.209.138:55443,http,7
319,178.22.199.156:53281,http,12
320,95.182.121.163:8080,http,9
321,144.76.254.18:8080,http,8
322,85.70.210.30:80,http,39
323,134.209.189.42:80,http,6
324,15.207.236.146:80,http,22
325,207.180.224.75:80,http,9
326,62.92.133.204:81,http,31
327,154.236.177.100:1981,http,20
328,176.58.112.227:80,http,2
329,121.152.180.171:8000,http,10
330,109.238.222.5:40387,http,18
331,133.125.54.107:80,http,3
332,146.196.123.211:9812,http,17
333,61.78.63.200:30000,http,8
334,41.60.238.179:8080,http,7
335,198.211.52.227:59394,http,19
336,195.135.242.141:8081,http,28
337,212.73.74.182:33333,https,12
338,43.255.113.232:82,http,35
339,196.1.97.209:80,http,19
340,177.93.38.238:8080,http,11
341,45.77.233.110:80,http,7
342,72.47.152.224:55443,http,15
343,85.14.112.37:8090,http,4
344,178.66.182.76:3128,http,19
345,108.187.44.171:3129,http,10
346,43.224.10.26:6666,http,5
347,165.0.50.110:8080,http,18
348,45.32.245.26:80,http,50
349,74.208.177.198:80,http,27
350,43.255.113.232:8081,http,36
351,46.188.53.7:8004,https,7
352,61.216.156.222:60808,http,11
353,110.74.195.34:25,http,18
354,213.32.58.10:8081,http,18
355,45.77.127.180:80,http,5
356,213.97.45.73:8083,http,16
357,142.132.140.218:8084,http,8
358,203.188.32.107:9812,http,12
359,161.35.161.38:80,http,7
360,78.84.95.187:53281,http,12
361,51.75.252.54:80,http,15
362,162.215.22.126:59394,http,14
363,46.101.49.62:80,http,5
364,5.161.73.187:8181,https,10
365,41.60.237.65:34098,http,19
366,37.187.114.131:80,http,11
367,70.184.195.197:80,http,38
368,151.106.18.124:1080,http,50
369,118.70.12.171:53281,http,20
370,66.196.238.179:3128,http,22
371,212.19.7.246:3128,https,10
372,107.167.6.113:59394,http,13
373,177.104.127.122:3130,http,33
374,191.97.36.200:23500,https,13
375,103.179.252.14:8181,http,50
376,136.226.33.104:80,https,25
377,83.220.47.146:8080,http,12
378,51.83.98.90:80,http,9
379,136.226.33.108:80,https,50
380,70.184.195.198:80,http,48
381,66.196.238.178:3128,http,24
382,45.131.251.246:3129,http,8
383,216.74.246.194:3129,https,8
384,167.99.124.118:80,http,12
385,46.101.160.223:80,http,5
386,41.164.68.194:8080,http,21
387,136.226.33.107:80,https,100
388,140.227.127.228:80,http,5
389,180.94.69.66:8080,http,7
390,87.103.175.250:9812,https,16
391,222.252.156.61:62694,http,17
392,129.213.123.186:3128,http,3
393,154.236.189.30:8080,http,14
394,50.233.42.98:51696,http,24
395,204.188.206.96:59394,http,14
396,159.223.100.21:80,http,25
397,136.226.32.235:80,https,50
398,159.223.100.21:8080,http,57
399,140.227.25.56:5678,http,8
400,213.230.109.201:1500,http,53
401,143.110.151.242:3128,http,13
402,190.196.176.5:60080,http,12
403,104.248.90.212:80,http,14
404,154.30.185.39:3129,http,25
405,144.217.75.65:8800,http,3
406,136.226.32.243:80,https,25
407,3.136.154.123:80,http,17
408,89.189.181.161:55855,http,15
409,94.232.11.178:46449,http,14
410,162.215.22.132:59394,http,43
411,27.116.41.156:9898,http,15
412,154.236.184.80:1981,http,23
413,190.217.14.18:999,http,19
414,181.129.43.3:8080,http,16
415,34.141.231.120:80,http,13
416,112.78.3.77:80,http,7
417,197.248.184.158:53281,http,22
418,118.185.38.153:35101,http,19
419,91.106.64.94:9812,https,9
420,160.202.76.183:59394,http,11
421,197.232.65.40:55443,http,14
422,103.73.102.174:60080,http,13
423,201.238.248.134:443,http,20
424,185.105.29.107:80,http,14
425,160.202.125.211:59394,http,24
426,117.198.97.220:80,http,19
427,213.230.108.104:1500,http,54
428,38.108.119.43:59394,http,53
